video;frame;timestamp;lol_x;lol_y;confidence;class
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;11974,66151;11639,40975;0,523181856;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;2578,92107;1171,366828;0,479629666;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;2738,272723;3301,849473;0,453301638;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;2024,184413;1921,339363;0,45313108;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;2356,876598;1152,690825;0,390263885;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;10216,84303;13084,58536;0,37101233;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;2094,590709;2227,517772;0,353804678;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;13153,82503;10896,36978;0,347950161;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;6626,024812;871,352934;0,328976154;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;13160,95775;10594,98004;0,326027215;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;12387,85065;12257,11535;0,313367933;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;13361,82943;7645,852661;0,299224317;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;-939,6401524;4624,170496;0,276987672;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;10484,05568;13169,94488;0,273766994;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;12743,41201;2559,120807;0,272714257;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;11837,34997;13352,61765;0,772690356;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;1076,313129;2390,016659;0,767451227;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;1161,108129;2687,00102;0,758822203;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;12314,05688;1750,290958;0,753465176;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;12388,45083;12236,0499;0,730183005;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;2411,082768;2687,432287;0,720098555;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;12071,98231;1869,174984;0,717689335;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;2058,620568;2177,328455;0,716166556;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;2200,256053;2380,334473;0,711355448;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;12098,12423;13417,11432;0,710631371;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;1359,973628;3711,947883;0,706873775;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;13462,03932;12106,18189;0,70510453;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;1325,211935;3989,231388;0,70030719;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;12026,36635;11764,81581;0,698736787;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;2352,664753;1116,841143;0,697852314;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;11970,10251;11539,10547;0,696465373;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;3650,04824;1394,012092;0,691291332;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;1261,782867;2933,676399;0,686714113;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;11624,90306;13280,75272;0,674098551;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;13216,439;10237,78058;0,671335638;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;12416,94168;2273,169304;0,665658772;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;13342,253;11831,81063;0,664091706;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;2868,368296;1263,108269;0,657770991;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;12235,20865;12047,2606;0,657053053;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;12147,70372;11917,24656;0,645269871;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;2686,395189;1202,601713;0,640596569;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;12189,2926;2077,291044;0,632973015;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;3138,514764;1407,511704;0,626935244;Blue Side
